Date,Open,High,Low,Close,Volume
18-May-17,5.47,5.57,5.38,5.49,119644
17-May-17,5.85,5.85,5.35,5.47,200891
16-May-17,5.92,6.20,5.83,5.95,202928
15-May-17,5.71,5.96,5.66,5.92,293699
12-May-17,5.63,5.87,5.63,5.65,180636
11-May-17,5.82,5.82,5.55,5.59,76312
10-May-17,5.82,6.04,5.77,5.87,184959
9-May-17,5.83,6.06,5.76,5.84,183000
8-May-17,5.81,6.02,5.71,5.84,160997
5-May-17,4.90,6.07,4.90,5.90,662199
4-May-17,4.90,5.06,4.88,5.02,179359
3-May-17,4.99,5.07,4.87,5.03,104166
2-May-17,4.92,5.03,4.84,4.99,175344
1-May-17,4.96,4.98,4.64,4.89,111619
28-Apr-17,5.08,5.37,4.86,4.94,186176
27-Apr-17,5.19,5.23,5.02,5.08,309928
26-Apr-17,5.00,5.29,4.91,5.19,153834
25-Apr-17,4.87,5.20,4.87,4.96,108031
24-Apr-17,4.84,4.92,4.75,4.80,81069
21-Apr-17,4.87,5.00,4.70,4.74,139187
20-Apr-17,4.94,4.99,4.81,4.85,165687
19-Apr-17,4.67,4.94,4.61,4.92,164880
18-Apr-17,4.45,4.65,4.37,4.63,128671
17-Apr-17,4.67,4.67,4.42,4.50,88019
13-Apr-17,4.81,4.81,4.55,4.62,143149
12-Apr-17,4.92,4.99,4.72,4.80,113060
11-Apr-17,4.95,5.01,4.84,4.95,149944
10-Apr-17,5.17,5.17,4.85,4.95,126235
7-Apr-17,5.22,5.38,5.10,5.16,115027
6-Apr-17,4.86,5.28,4.81,5.24,221714
5-Apr-17,4.99,5.15,4.80,4.85,698213
4-Apr-17,5.25,5.26,4.90,4.97,233686
3-Apr-17,5.69,5.75,5.23,5.26,122501
31-Mar-17,5.66,5.75,5.60,5.69,90857
30-Mar-17,5.69,5.78,5.59,5.66,75067
29-Mar-17,5.52,5.80,5.52,5.69,169363
28-Mar-17,5.56,5.62,5.46,5.52,138039
27-Mar-17,5.52,5.70,5.36,5.60,106587
24-Mar-17,5.54,5.75,5.50,5.60,103691
23-Mar-17,5.24,5.59,5.17,5.52,175054
22-Mar-17,5.47,5.48,5.00,5.25,242845
21-Mar-17,5.24,5.53,5.14,5.48,355080
20-Mar-17,4.96,5.25,4.87,5.23,227131
17-Mar-17,4.87,5.02,4.84,4.96,238871
16-Mar-17,5.35,5.38,4.89,4.90,184391
15-Mar-17,5.08,5.38,5.05,5.32,265945
14-Mar-17,4.95,5.10,4.75,5.07,165586
13-Mar-17,5.01,5.11,4.91,4.95,133382
10-Mar-17,4.97,5.14,4.90,5.03,155096
9-Mar-17,5.11,5.21,4.89,4.92,238289
8-Mar-17,5.50,5.53,5.11,5.12,213247
7-Mar-17,5.90,5.95,5.44,5.46,110251
6-Mar-17,5.94,6.06,5.89,5.92,399930
3-Mar-17,6.35,6.36,5.85,5.99,703034
2-Mar-17,6.78,6.82,6.33,6.35,132846
1-Mar-17,6.65,6.86,6.53,6.80,84575
