Date,Open,High,Low,Close,Volume
18-May-17,18.10,18.44,17.73,18.09,178908
17-May-17,18.74,18.88,18.25,18.30,100922
16-May-17,19.00,19.08,18.64,18.91,60978
15-May-17,19.00,19.24,18.72,19.03,79164
12-May-17,18.76,19.01,18.53,18.92,78803
11-May-17,18.95,19.09,18.44,18.83,123907
10-May-17,18.49,19.30,18.45,19.03,110952
9-May-17,18.38,18.74,18.37,18.55,227219
8-May-17,18.35,18.55,18.17,18.42,177913
5-May-17,18.10,19.14,18.10,18.45,408492
4-May-17,16.78,17.54,16.74,17.38,282775
3-May-17,17.24,17.40,16.75,16.77,103299
2-May-17,17.45,17.64,17.45,17.50,147066
1-May-17,17.60,17.92,17.36,17.50,289590
28-Apr-17,17.46,17.74,17.23,17.48,181062
27-Apr-17,17.89,17.99,17.38,17.40,69004
26-Apr-17,17.67,18.00,17.63,17.89,68120
25-Apr-17,17.97,18.19,17.69,17.75,161208
24-Apr-17,17.59,18.00,17.30,17.87,145511
21-Apr-17,17.66,17.77,17.31,17.42,118823
20-Apr-17,18.21,18.39,16.97,17.69,478055
19-Apr-17,19.00,19.23,18.93,18.99,142053
18-Apr-17,19.56,19.58,18.95,18.99,178718
17-Apr-17,19.30,19.68,19.25,19.66,47151
13-Apr-17,19.23,19.47,19.07,19.28,68198
12-Apr-17,19.46,19.53,19.15,19.29,77772
11-Apr-17,19.55,19.90,19.30,19.58,83508
10-Apr-17,19.83,20.16,19.55,19.57,128103
7-Apr-17,19.52,19.83,18.97,19.80,114226
6-Apr-17,18.95,19.60,18.50,19.57,156814
5-Apr-17,19.37,19.50,18.89,18.97,86131
4-Apr-17,19.75,20.09,19.04,19.30,62992
3-Apr-17,19.94,20.70,19.71,19.76,151131
31-Mar-17,19.83,20.06,19.44,19.87,112382
30-Mar-17,19.70,20.02,19.58,19.82,105440
29-Mar-17,19.69,19.94,19.45,19.72,124539
28-Mar-17,19.77,19.98,19.50,19.75,80989
27-Mar-17,19.26,19.94,19.12,19.77,131232
24-Mar-17,19.17,19.51,19.10,19.36,83717
23-Mar-17,18.54,19.28,18.48,19.16,125473
22-Mar-17,18.30,18.57,18.24,18.54,157988
