Date,Open,High,Low,Close,Volume
18-May-17,3.93,4.01,3.88,3.97,647010
17-May-17,4.11,4.11,3.91,3.92,636233
16-May-17,4.11,4.16,4.06,4.13,863877
15-May-17,3.96,4.13,3.93,4.11,1817327
12-May-17,3.97,4.01,3.92,3.92,549158
11-May-17,3.98,4.01,3.87,3.97,708161
10-May-17,3.96,3.99,3.88,3.97,780209
9-May-17,3.96,3.99,3.92,3.97,776655
8-May-17,3.95,3.99,3.86,3.93,615096
5-May-17,3.88,3.96,3.84,3.94,553985
4-May-17,4.05,4.06,3.88,3.89,1264021
3-May-17,3.97,4.04,3.95,4.02,624078
2-May-17,4.02,4.10,3.96,3.99,930783
1-May-17,3.97,4.07,3.83,4.01,1299264
28-Apr-17,4.07,4.14,3.91,3.94,2494838
27-Apr-17,4.29,4.40,3.75,4.06,4652576
26-Apr-17,5.01,5.22,5.01,5.18,1185168
25-Apr-17,5.07,5.16,5.02,5.03,655190
24-Apr-17,5.06,5.22,5.03,5.04,1716423
21-Apr-17,4.73,5.09,4.73,5.05,1988089
20-Apr-17,4.75,4.93,4.68,4.72,722923
19-Apr-17,4.91,4.98,4.72,4.75,738803
18-Apr-17,4.79,4.91,4.69,4.88,682633
17-Apr-17,4.89,4.93,4.74,4.80,608745
13-Apr-17,4.89,4.93,4.78,4.85,598214
12-Apr-17,5.08,5.10,4.88,4.89,676827
11-Apr-17,5.01,5.17,4.96,5.07,789417
10-Apr-17,5.09,5.13,4.91,5.02,1063108
7-Apr-17,4.98,5.10,4.85,5.10,815029
6-Apr-17,4.95,5.01,4.85,4.97,978345
5-Apr-17,5.25,5.26,4.80,4.91,1436242
4-Apr-17,5.19,5.21,5.08,5.18,617982
3-Apr-17,5.18,5.43,5.16,5.17,795602
31-Mar-17,5.20,5.29,5.06,5.17,763819
30-Mar-17,5.32,5.40,5.13,5.17,1378399
29-Mar-17,4.86,5.65,4.82,5.38,3826251
28-Mar-17,5.04,5.12,4.84,4.85,685707
27-Mar-17,4.98,5.12,4.97,5.03,534648
24-Mar-17,5.03,5.18,5.03,5.05,523839
23-Mar-17,4.64,5.13,4.64,5.00,1348641
22-Mar-17,4.67,4.74,4.57,4.73,576898
21-Mar-17,4.72,4.80,4.60,4.66,520366
20-Mar-17,4.58,4.80,4.58,4.71,646896
17-Mar-17,4.63,4.70,4.56,4.59,883910
16-Mar-17,4.78,4.79,4.67,4.69,451699
15-Mar-17,4.65,4.84,4.60,4.79,584767
14-Mar-17,4.63,4.76,4.56,4.64,453935
13-Mar-17,4.80,4.84,4.56,4.68,1131000
10-Mar-17,4.70,4.83,4.69,4.80,508523
9-Mar-17,4.81,4.91,4.63,4.71,1104594
8-Mar-17,4.80,4.92,4.77,4.81,711314
7-Mar-17,5.00,5.14,4.82,4.83,755785
6-Mar-17,5.10,5.12,4.99,5.02,582763
3-Mar-17,5.16,5.27,5.12,5.14,804127
2-Mar-17,5.32,5.32,5.17,5.20,817278
1-Mar-17,5.11,5.32,5.10,5.29,1071532
28-Feb-17,5.15,5.15,5.03,5.05,597350
27-Feb-17,5.11,5.23,5.08,5.16,1033900
24-Feb-17,5.07,5.12,4.96,5.12,822250
