Date,Open,High,Low,Close,Volume
18-May-17,2.96,3.17,2.88,3.00,103524
17-May-17,3.27,3.27,2.91,2.94,53218
16-May-17,3.21,3.36,3.20,3.21,24035
15-May-17,3.35,3.35,3.18,3.24,45107
12-May-17,3.43,3.65,3.24,3.29,86150
11-May-17,3.53,3.55,3.41,3.45,9034
10-May-17,3.66,3.66,3.50,3.55,30141
9-May-17,3.53,3.76,3.50,3.64,24900
8-May-17,3.55,3.65,3.48,3.49,29634
5-May-17,3.67,3.68,3.41,3.65,49756
4-May-17,3.62,3.74,3.57,3.70,46273
3-May-17,3.63,3.64,3.36,3.53,59350
2-May-17,3.64,3.76,3.60,3.68,10024
1-May-17,3.83,3.84,3.56,3.65,26493
28-Apr-17,3.96,3.96,3.41,3.85,47374
27-Apr-17,4.21,4.66,3.86,3.96,349343
26-Apr-17,3.94,4.21,3.88,4.03,57081
25-Apr-17,3.69,3.99,3.69,3.93,14067
24-Apr-17,3.67,3.90,3.67,3.70,12394
21-Apr-17,3.91,4.06,3.71,3.75,30462
20-Apr-17,3.73,4.14,3.68,3.90,108056
19-Apr-17,3.73,3.74,3.68,3.73,11349
18-Apr-17,3.66,3.77,3.64,3.77,5148
17-Apr-17,3.71,3.74,3.58,3.69,4094
13-Apr-17,3.70,3.79,3.57,3.69,40886
12-Apr-17,3.86,3.89,3.67,3.68,7617
11-Apr-17,3.91,4.08,3.86,3.87,21755
10-Apr-17,3.55,4.06,3.53,3.90,51065
7-Apr-17,3.62,3.66,3.49,3.63,10192
6-Apr-17,3.56,3.65,3.32,3.62,11175
5-Apr-17,3.60,3.65,3.43,3.54,5867
4-Apr-17,3.50,3.69,3.46,3.62,19766
3-Apr-17,3.54,3.54,3.47,3.50,5515
31-Mar-17,3.46,3.65,3.46,3.56,18526
30-Mar-17,3.61,3.62,3.43,3.49,22546
29-Mar-17,3.60,3.71,3.56,3.63,49571
28-Mar-17,3.89,3.89,3.56,3.71,49009
27-Mar-17,3.50,3.84,3.50,3.77,83847
24-Mar-17,3.30,3.64,3.23,3.45,90415
23-Mar-17,3.09,3.33,2.95,3.29,80197
22-Mar-17,3.25,3.35,3.09,3.12,60360
21-Mar-17,3.35,3.56,3.21,3.28,76202
20-Mar-17,3.60,3.60,3.30,3.36,124311
17-Mar-17,3.71,3.74,3.55,3.58,61965
16-Mar-17,3.91,3.92,3.62,3.72,118439
15-Mar-17,4.08,4.13,3.87,3.93,87181
14-Mar-17,4.20,4.20,4.00,4.04,68564
13-Mar-17,4.27,4.37,4.05,4.22,249346
10-Mar-17,4.81,4.95,4.05,4.26,330408
9-Mar-17,4.80,5.36,4.62,4.87,417856
8-Mar-17,4.65,5.05,4.56,4.76,264869
7-Mar-17,4.53,4.80,4.42,4.62,144525
6-Mar-17,4.40,4.60,4.31,4.60,165394
3-Mar-17,4.34,4.68,4.25,4.36,62680
2-Mar-17,4.37,4.54,4.37,4.38,58304
1-Mar-17,4.35,4.72,4.33,4.48,88649
28-Feb-17,4.36,4.47,4.36,4.46,23859
27-Feb-17,4.32,4.43,4.32,4.41,45969
24-Feb-17,4.37,4.44,4.26,4.26,19938
23-Feb-17,4.45,4.64,4.30,4.44,74441
22-Feb-17,4.67,4.78,4.45,4.55,72641
21-Feb-17,4.75,4.90,4.71,4.79,49936
17-Feb-17,4.57,4.81,4.45,4.72,93002
16-Feb-17,4.70,4.70,4.54,4.66,31317
