Date,Open,High,Low,Close,Volume
18-May-17,174.02,176.98,173.96,176.33,660894
17-May-17,173.27,176.05,172.98,174.39,619288
16-May-17,174.93,175.26,173.98,174.91,294768
15-May-17,172.68,174.95,172.03,174.71,581501
12-May-17,172.25,173.02,172.00,172.41,282566
11-May-17,173.26,173.26,169.34,172.22,1004243
10-May-17,174.01,174.83,172.92,174.11,656515
9-May-17,173.56,174.78,173.00,174.50,300610
8-May-17,174.03,174.03,172.71,173.07,346538
5-May-17,173.94,174.17,172.73,174.00,387904
4-May-17,172.93,173.99,172.80,173.70,362689
3-May-17,172.86,174.19,172.11,172.48,487523
2-May-17,173.82,174.79,172.99,173.75,553337
1-May-17,171.48,173.28,170.51,173.05,733061
28-Apr-17,170.96,170.96,169.23,169.89,705825
27-Apr-17,171.43,172.27,170.40,170.73,529842
26-Apr-17,172.00,174.68,170.72,170.94,1021211
25-Apr-17,167.00,172.35,160.52,171.46,1428132
24-Apr-17,160.27,160.83,159.60,160.27,835734
21-Apr-17,159.00,159.66,157.84,158.52,289499
20-Apr-17,159.10,159.83,157.83,158.99,615788
19-Apr-17,158.16,161.98,157.06,159.21,721315
18-Apr-17,156.66,157.73,155.16,157.26,372823
17-Apr-17,156.25,158.11,155.38,157.34,411768
13-Apr-17,154.36,156.36,154.36,155.69,317567
12-Apr-17,156.28,156.54,154.86,155.11,370188
11-Apr-17,156.16,156.41,154.38,155.88,267861
10-Apr-17,156.42,157.61,156.19,156.39,304037
7-Apr-17,155.69,157.36,155.24,156.81,396598
6-Apr-17,155.37,156.41,154.59,155.94,251079
5-Apr-17,155.14,157.47,154.68,155.37,684659
4-Apr-17,156.68,157.06,154.15,154.83,439330
3-Apr-17,156.39,157.62,155.95,156.70,567706
31-Mar-17,155.96,157.00,154.94,156.31,248704
30-Mar-17,155.36,156.63,153.92,156.28,236052
29-Mar-17,155.44,155.99,154.30,155.61,169453
28-Mar-17,155.44,156.75,154.75,155.52,253219
27-Mar-17,154.00,156.45,153.04,155.91,373483
24-Mar-17,155.66,156.68,154.29,154.76,409330
23-Mar-17,155.79,156.59,155.09,155.63,264078
22-Mar-17,156.12,156.36,154.66,155.92,413114
21-Mar-17,156.66,157.30,154.12,155.49,327576
20-Mar-17,156.50,157.05,155.84,155.86,238513
17-Mar-17,156.78,157.53,155.64,156.59,605064
16-Mar-17,156.50,156.93,154.20,156.45,700203
15-Mar-17,157.00,158.81,156.45,158.31,395358
14-Mar-17,157.02,157.37,155.75,156.40,260967
13-Mar-17,156.40,157.35,155.67,157.16,322834
10-Mar-17,155.56,157.44,154.96,156.94,754343
9-Mar-17,153.12,155.93,152.36,154.61,520089
8-Mar-17,153.34,153.97,152.48,153.05,445805
7-Mar-17,152.89,153.93,152.39,153.36,296756
6-Mar-17,154.29,154.85,152.05,153.42,642623
3-Mar-17,154.00,154.99,153.20,154.90,603261
2-Mar-17,155.73,155.89,153.75,154.19,598121
1-Mar-17,156.12,157.91,155.40,155.83,743010
28-Feb-17,156.60,157.72,154.71,154.99,616463
27-Feb-17,156.75,157.32,155.82,156.53,526057
24-Feb-17,154.75,156.43,153.59,156.40,421782
23-Feb-17,154.79,155.01,153.36,154.89,577623
22-Feb-17,153.79,155.27,153.45,154.68,430370
21-Feb-17,154.30,155.29,153.42,154.60,393354
17-Feb-17,152.70,154.41,152.65,154.33,398823
16-Feb-17,153.36,153.36,151.64,153.00,485215
15-Feb-17,149.85,153.90,149.22,153.41,882829
14-Feb-17,149.06,150.65,148.72,150.47,390907
13-Feb-17,149.33,150.98,148.75,149.73,524564
10-Feb-17,148.70,149.81,148.14,149.20,374537
9-Feb-17,147.58,148.96,147.20,148.67,334622
8-Feb-17,146.94,147.70,145.94,147.58,381736
7-Feb-17,146.31,147.94,146.31,147.31,548113
6-Feb-17,146.32,146.32,144.66,145.87,367375
3-Feb-17,145.98,146.74,144.97,146.34,551630
2-Feb-17,145.06,145.49,144.24,145.05,520807
1-Feb-17,142.04,146.02,141.46,145.73,1043628
