Date,Open,High,Low,Close,Volume
28-Apr-17,4.07,4.14,3.91,3.94,2494838
27-Apr-17,4.29,4.40,3.75,4.06,4652576
26-Apr-17,5.01,5.22,5.01,5.18,1185168
25-Apr-17,5.07,5.16,5.02,5.03,655190
24-Apr-17,5.06,5.22,5.03,5.04,1716423
21-Apr-17,4.73,5.09,4.73,5.05,1988089
20-Apr-17,4.75,4.93,4.68,4.72,722923
19-Apr-17,4.91,4.98,4.72,4.75,738803
18-Apr-17,4.79,4.91,4.69,4.88,682633
17-Apr-17,4.89,4.93,4.74,4.80,608745
13-Apr-17,4.89,4.93,4.78,4.85,598214
12-Apr-17,5.08,5.10,4.88,4.89,676827
11-Apr-17,5.01,5.17,4.96,5.07,789417
10-Apr-17,5.09,5.13,4.91,5.02,1063108
7-Apr-17,4.98,5.10,4.85,5.10,815029
6-Apr-17,4.95,5.01,4.85,4.97,978345
5-Apr-17,5.25,5.26,4.80,4.91,1436242
4-Apr-17,5.19,5.21,5.08,5.18,617982
3-Apr-17,5.18,5.43,5.16,5.17,795602
